emissions_id,actor_id,year,total_emissions,datasource_id
minx_etal_2021_v6:AE:1970,AE,1970,29157162,minx_etal_2021:v6
minx_etal_2021_v6:AE:1971,AE,1971,35213281,minx_etal_2021:v6
minx_etal_2021_v6:AE:1972,AE,1972,38785288,minx_etal_2021:v6
minx_etal_2021_v6:AE:1973,AE,1973,49841904,minx_etal_2021:v6
minx_etal_2021_v6:AE:1974,AE,1974,51284835,minx_etal_2021:v6
minx_etal_2021_v6:AE:1975,AE,1975,52373588,minx_etal_2021:v6
minx_etal_2021_v6:AE:1976,AE,1976,63549025,minx_etal_2021:v6
minx_etal_2021_v6:AE:1977,AE,1977,65183507,minx_etal_2021:v6
minx_etal_2021_v6:AE:1978,AE,1978,71415834,minx_etal_2021:v6
minx_etal_2021_v6:AE:1979,AE,1979,57034987,minx_etal_2021:v6
minx_etal_2021_v6:AE:1980,AE,1980,60024374,minx_etal_2021:v6
minx_etal_2021_v6:AE:1981,AE,1981,55709864,minx_etal_2021:v6
minx_etal_2021_v6:AE:1982,AE,1982,54120425,minx_etal_2021:v6
minx_etal_2021_v6:AE:1983,AE,1983,51734338,minx_etal_2021:v6
minx_etal_2021_v6:AE:1984,AE,1984,65870264,minx_etal_2021:v6
minx_etal_2021_v6:AE:1985,AE,1985,68695849,minx_etal_2021:v6
minx_etal_2021_v6:AE:1986,AE,1986,69266573,minx_etal_2021:v6
minx_etal_2021_v6:AE:1987,AE,1987,73334335,minx_etal_2021:v6
minx_etal_2021_v6:AE:1988,AE,1988,72869576,minx_etal_2021:v6
minx_etal_2021_v6:AE:1989,AE,1989,82618678,minx_etal_2021:v6
minx_etal_2021_v6:AE:1990,AE,1990,84809380,minx_etal_2021:v6
minx_etal_2021_v6:AE:1991,AE,1991,94204305,minx_etal_2021:v6
minx_etal_2021_v6:AE:1992,AE,1992,93152568,minx_etal_2021:v6
minx_etal_2021_v6:AE:1993,AE,1993,100108352,minx_etal_2021:v6
minx_etal_2021_v6:AE:1994,AE,1994,106265643,minx_etal_2021:v6
minx_etal_2021_v6:AE:1995,AE,1995,112758046,minx_etal_2021:v6
minx_etal_2021_v6:AE:1996,AE,1996,118619472,minx_etal_2021:v6
minx_etal_2021_v6:AE:1997,AE,1997,121268063,minx_etal_2021:v6
minx_etal_2021_v6:AE:1998,AE,1998,122448950,minx_etal_2021:v6
minx_etal_2021_v6:AE:1999,AE,1999,125463139,minx_etal_2021:v6
minx_etal_2021_v6:AE:2000,AE,2000,127694864,minx_etal_2021:v6
minx_etal_2021_v6:AE:2001,AE,2001,142082778,minx_etal_2021:v6
minx_etal_2021_v6:AE:2002,AE,2002,143946820,minx_etal_2021:v6
minx_etal_2021_v6:AE:2003,AE,2003,152383725,minx_etal_2021:v6
minx_etal_2021_v6:AE:2004,AE,2004,159658284,minx_etal_2021:v6
minx_etal_2021_v6:AE:2005,AE,2005,170182403,minx_etal_2021:v6
minx_etal_2021_v6:AE:2006,AE,2006,177291091,minx_etal_2021:v6
minx_etal_2021_v6:AE:2007,AE,2007,187904195,minx_etal_2021:v6
minx_etal_2021_v6:AE:2008,AE,2008,215565580,minx_etal_2021:v6
minx_etal_2021_v6:AE:2009,AE,2009,216545411,minx_etal_2021:v6
minx_etal_2021_v6:AE:2010,AE,2010,224963646,minx_etal_2021:v6
minx_etal_2021_v6:AE:2011,AE,2011,232219438,minx_etal_2021:v6
minx_etal_2021_v6:AE:2012,AE,2012,243731993,minx_etal_2021:v6
minx_etal_2021_v6:AE:2013,AE,2013,255085415,minx_etal_2021:v6
minx_etal_2021_v6:AE:2014,AE,2014,258580590,minx_etal_2021:v6
minx_etal_2021_v6:AE:2015,AE,2015,273688404,minx_etal_2021:v6
minx_etal_2021_v6:AE:2016,AE,2016,283385975,minx_etal_2021:v6
minx_etal_2021_v6:AE:2017,AE,2017,290150638,minx_etal_2021:v6
minx_etal_2021_v6:AE:2018,AE,2018,286877115,minx_etal_2021:v6
minx_etal_2021_v6:AE:2019,AE,2019,286465409,minx_etal_2021:v6
minx_etal_2021_v6:AE:2020,AE,2020,203136439,minx_etal_2021:v6
minx_etal_2021_v6:AF:1970,AF,1970,17022734,minx_etal_2021:v6
minx_etal_2021_v6:AF:1971,AF,1971,16968963,minx_etal_2021:v6
minx_etal_2021_v6:AF:1972,AF,1972,15040434,minx_etal_2021:v6
minx_etal_2021_v6:AF:1973,AF,1973,15624713,minx_etal_2021:v6
minx_etal_2021_v6:AF:1974,AF,1974,16934332,minx_etal_2021:v6
minx_etal_2021_v6:AF:1975,AF,1975,17646055,minx_etal_2021:v6
minx_etal_2021_v6:AF:1976,AF,1976,17613210,minx_etal_2021:v6
minx_etal_2021_v6:AF:1977,AF,1977,17778794,minx_etal_2021:v6
minx_etal_2021_v6:AF:1978,AF,1978,17311659,minx_etal_2021:v6
minx_etal_2021_v6:AF:1979,AF,1979,17161253,minx_etal_2021:v6
minx_etal_2021_v6:AF:1980,AF,1980,17144917,minx_etal_2021:v6
minx_etal_2021_v6:AF:1981,AF,1981,17347756,minx_etal_2021:v6
minx_etal_2021_v6:AF:1982,AF,1982,17208607,minx_etal_2021:v6
minx_etal_2021_v6:AF:1983,AF,1983,17209226,minx_etal_2021:v6
minx_etal_2021_v6:AF:1984,AF,1984,16096939,minx_etal_2021:v6
minx_etal_2021_v6:AF:1985,AF,1985,16068921,minx_etal_2021:v6
minx_etal_2021_v6:AF:1986,AF,1986,13074114,minx_etal_2021:v6
minx_etal_2021_v6:AF:1987,AF,1987,13468183,minx_etal_2021:v6
minx_etal_2021_v6:AF:1988,AF,1988,14049479,minx_etal_2021:v6
minx_etal_2021_v6:AF:1989,AF,1989,13287472,minx_etal_2021:v6
minx_etal_2021_v6:AF:1990,AF,1990,13401386,minx_etal_2021:v6
minx_etal_2021_v6:AF:1991,AF,1991,13477402,minx_etal_2021:v6
minx_etal_2021_v6:AF:1992,AF,1992,12635322,minx_etal_2021:v6
minx_etal_2021_v6:AF:1993,AF,1993,12753494,minx_etal_2021:v6
minx_etal_2021_v6:AF:1994,AF,1994,12843774,minx_etal_2021:v6
minx_etal_2021_v6:AF:1995,AF,1995,13362841,minx_etal_2021:v6
minx_etal_2021_v6:AF:1996,AF,1996,14579408,minx_etal_2021:v6
minx_etal_2021_v6:AF:1997,AF,1997,15616835,minx_etal_2021:v6
minx_etal_2021_v6:AF:1998,AF,1998,16492387,minx_etal_2021:v6
minx_etal_2021_v6:AF:1999,AF,1999,17532525,minx_etal_2021:v6
minx_etal_2021_v6:AF:2000,AF,2000,15549884,minx_etal_2021:v6
minx_etal_2021_v6:AF:2001,AF,2001,14107312,minx_etal_2021:v6
minx_etal_2021_v6:AF:2002,AF,2002,16371217,minx_etal_2021:v6
minx_etal_2021_v6:AF:2003,AF,2003,17179320,minx_etal_2021:v6
minx_etal_2021_v6:AF:2004,AF,2004,17295773,minx_etal_2021:v6
minx_etal_2021_v6:AF:2005,AF,2005,17599600,minx_etal_2021:v6
minx_etal_2021_v6:AF:2006,AF,2006,17880017,minx_etal_2021:v6
minx_etal_2021_v6:AF:2007,AF,2007,19063891,minx_etal_2021:v6
minx_etal_2021_v6:AF:2008,AF,2008,22269590,minx_etal_2021:v6
minx_etal_2021_v6:AF:2009,AF,2009,24783617,minx_etal_2021:v6
minx_etal_2021_v6:AF:2010,AF,2010,28650989,minx_etal_2021:v6
minx_etal_2021_v6:AF:2011,AF,2011,33972219,minx_etal_2021:v6
minx_etal_2021_v6:AF:2012,AF,2012,31527924,minx_etal_2021:v6
minx_etal_2021_v6:AF:2013,AF,2013,29642771,minx_etal_2021:v6
minx_etal_2021_v6:AF:2014,AF,2014,29489176,minx_etal_2021:v6
minx_etal_2021_v6:AF:2015,AF,2015,29237994,minx_etal_2021:v6
minx_etal_2021_v6:AF:2016,AF,2016,27791504,minx_etal_2021:v6
minx_etal_2021_v6:AF:2017,AF,2017,30234433,minx_etal_2021:v6
minx_etal_2021_v6:AF:2018,AF,2018,30272439,minx_etal_2021:v6
minx_etal_2021_v6:AF:2019,AF,2019,33902296,minx_etal_2021:v6
minx_etal_2021_v6:AF:2020,AF,2020,11947863,minx_etal_2021:v6
minx_etal_2021_v6:AG:1970,AG,1970,339003,minx_etal_2021:v6
minx_etal_2021_v6:AG:1971,AG,1971,344990,minx_etal_2021:v6
minx_etal_2021_v6:AG:1972,AG,1972,387358,minx_etal_2021:v6
minx_etal_2021_v6:AG:1973,AG,1973,418718,minx_etal_2021:v6
minx_etal_2021_v6:AG:1974,AG,1974,356575,minx_etal_2021:v6
minx_etal_2021_v6:AG:1975,AG,1975,436178,minx_etal_2021:v6
minx_etal_2021_v6:AG:1976,AG,1976,394143,minx_etal_2021:v6
minx_etal_2021_v6:AG:1977,AG,1977,430088,minx_etal_2021:v6
minx_etal_2021_v6:AG:1978,AG,1978,449141,minx_etal_2021:v6
minx_etal_2021_v6:AG:1979,AG,1979,432394,minx_etal_2021:v6
minx_etal_2021_v6:AG:1980,AG,1980,435038,minx_etal_2021:v6
minx_etal_2021_v6:AG:1981,AG,1981,400421,minx_etal_2021:v6
minx_etal_2021_v6:AG:1982,AG,1982,499211,minx_etal_2021:v6
minx_etal_2021_v6:AG:1983,AG,1983,338903,minx_etal_2021:v6
minx_etal_2021_v6:AG:1984,AG,1984,400309,minx_etal_2021:v6
minx_etal_2021_v6:AG:1985,AG,1985,396484,minx_etal_2021:v6
minx_etal_2021_v6:AG:1986,AG,1986,417644,minx_etal_2021:v6
minx_etal_2021_v6:AG:1987,AG,1987,530861,minx_etal_2021:v6
minx_etal_2021_v6:AG:1988,AG,1988,518457,minx_etal_2021:v6
minx_etal_2021_v6:AG:1989,AG,1989,486713,minx_etal_2021:v6
minx_etal_2021_v6:AG:1990,AG,1990,492158,minx_etal_2021:v6
minx_etal_2021_v6:AG:1991,AG,1991,515253,minx_etal_2021:v6
minx_etal_2021_v6:AG:1992,AG,1992,524559,minx_etal_2021:v6
minx_etal_2021_v6:AG:1993,AG,1993,487037,minx_etal_2021:v6
minx_etal_2021_v6:AG:1994,AG,1994,513469,minx_etal_2021:v6
minx_etal_2021_v6:AG:1995,AG,1995,536153,minx_etal_2021:v6
minx_etal_2021_v6:AG:1996,AG,1996,540747,minx_etal_2021:v6
minx_etal_2021_v6:AG:1997,AG,1997,531780,minx_etal_2021:v6
minx_etal_2021_v6:AG:1998,AG,1998,520032,minx_etal_2021:v6
minx_etal_2021_v6:AG:1999,AG,1999,532566,minx_etal_2021:v6
minx_etal_2021_v6:AG:2000,AG,2000,513189,minx_etal_2021:v6
minx_etal_2021_v6:AG:2001,AG,2001,512465,minx_etal_2021:v6
minx_etal_2021_v6:AG:2002,AG,2002,516490,minx_etal_2021:v6
minx_etal_2021_v6:AG:2003,AG,2003,570761,minx_etal_2021:v6
minx_etal_2021_v6:AG:2004,AG,2004,596524,minx_etal_2021:v6
minx_etal_2021_v6:AG:2005,AG,2005,586174,minx_etal_2021:v6
minx_etal_2021_v6:AG:2006,AG,2006,581308,minx_etal_2021:v6
minx_etal_2021_v6:AG:2007,AG,2007,592825,minx_etal_2021:v6
minx_etal_2021_v6:AG:2008,AG,2008,600782,minx_etal_2021:v6
minx_etal_2021_v6:AG:2009,AG,2009,675698,minx_etal_2021:v6
minx_etal_2021_v6:AG:2010,AG,2010,654637,minx_etal_2021:v6
minx_etal_2021_v6:AG:2011,AG,2011,709190,minx_etal_2021:v6
minx_etal_2021_v6:AG:2012,AG,2012,772308,minx_etal_2021:v6
minx_etal_2021_v6:AG:2013,AG,2013,821759,minx_etal_2021:v6
minx_etal_2021_v6:AG:2014,AG,2014,814927,minx_etal_2021:v6
minx_etal_2021_v6:AG:2015,AG,2015,811183,minx_etal_2021:v6
minx_etal_2021_v6:AG:2016,AG,2016,799293,minx_etal_2021:v6
minx_etal_2021_v6:AG:2017,AG,2017,642710,minx_etal_2021:v6
minx_etal_2021_v6:AG:2018,AG,2018,626217,minx_etal_2021:v6
minx_etal_2021_v6:AG:2019,AG,2019,613739,minx_etal_2021:v6
minx_etal_2021_v6:AG:2020,AG,2020,457251,minx_etal_2021:v6
minx_etal_2021_v6:AI:1970,AI,1970,4570,minx_etal_2021:v6
minx_etal_2021_v6:AI:1971,AI,1971,4037,minx_etal_2021:v6
minx_etal_2021_v6:AI:1972,AI,1972,4136,minx_etal_2021:v6
minx_etal_2021_v6:AI:1973,AI,1973,3979,minx_etal_2021:v6
minx_etal_2021_v6:AI:1974,AI,1974,4227,minx_etal_2021:v6
minx_etal_2021_v6:AI:1975,AI,1975,4464,minx_etal_2021:v6
minx_etal_2021_v6:AI:1976,AI,1976,4303,minx_etal_2021:v6
minx_etal_2021_v6:AI:1977,AI,1977,4404,minx_etal_2021:v6
minx_etal_2021_v6:AI:1978,AI,1978,4769,minx_etal_2021:v6
minx_etal_2021_v6:AI:1979,AI,1979,5077,minx_etal_2021:v6
minx_etal_2021_v6:AI:1980,AI,1980,6304,minx_etal_2021:v6
minx_etal_2021_v6:AI:1981,AI,1981,8585,minx_etal_2021:v6
minx_etal_2021_v6:AI:1982,AI,1982,9031,minx_etal_2021:v6
minx_etal_2021_v6:AI:1983,AI,1983,8068,minx_etal_2021:v6
minx_etal_2021_v6:AI:1984,AI,1984,7772,minx_etal_2021:v6
minx_etal_2021_v6:AI:1985,AI,1985,5594,minx_etal_2021:v6
minx_etal_2021_v6:AI:1986,AI,1986,5137,minx_etal_2021:v6
minx_etal_2021_v6:AI:1987,AI,1987,8266,minx_etal_2021:v6
minx_etal_2021_v6:AI:1988,AI,1988,8034,minx_etal_2021:v6
minx_etal_2021_v6:AI:1989,AI,1989,8494,minx_etal_2021:v6
minx_etal_2021_v6:AI:1990,AI,1990,8554,minx_etal_2021:v6
minx_etal_2021_v6:AI:1991,AI,1991,10144,minx_etal_2021:v6
minx_etal_2021_v6:AI:1992,AI,1992,10558,minx_etal_2021:v6
minx_etal_2021_v6:AI:1993,AI,1993,12730,minx_etal_2021:v6
minx_etal_2021_v6:AI:1994,AI,1994,16070,minx_etal_2021:v6
minx_etal_2021_v6:AI:1995,AI,1995,19492,minx_etal_2021:v6
minx_etal_2021_v6:AI:1996,AI,1996,19359,minx_etal_2021:v6
minx_etal_2021_v6:AI:1997,AI,1997,16710,minx_etal_2021:v6
minx_etal_2021_v6:AI:1998,AI,1998,15611,minx_etal_2021:v6
minx_etal_2021_v6:AI:1999,AI,1999,14958,minx_etal_2021:v6
minx_etal_2021_v6:AI:2000,AI,2000,18864,minx_etal_2021:v6
minx_etal_2021_v6:AI:2001,AI,2001,19335,minx_etal_2021:v6
minx_etal_2021_v6:AI:2002,AI,2002,14264,minx_etal_2021:v6
minx_etal_2021_v6:AI:2003,AI,2003,17645,minx_etal_2021:v6
minx_etal_2021_v6:AI:2004,AI,2004,17068,minx_etal_2021:v6
minx_etal_2021_v6:AI:2005,AI,2005,17351,minx_etal_2021:v6
minx_etal_2021_v6:AI:2006,AI,2006,16559,minx_etal_2021:v6
minx_etal_2021_v6:AI:2007,AI,2007,16160,minx_etal_2021:v6
minx_etal_2021_v6:AI:2008,AI,2008,19198,minx_etal_2021:v6
minx_etal_2021_v6:AI:2009,AI,2009,24253,minx_etal_2021:v6
minx_etal_2021_v6:AI:2010,AI,2010,28223,minx_etal_2021:v6
minx_etal_2021_v6:AI:2011,AI,2011,30304,minx_etal_2021:v6
minx_etal_2021_v6:AI:2012,AI,2012,30367,minx_etal_2021:v6
minx_etal_2021_v6:AI:2013,AI,2013,32365,minx_etal_2021:v6
minx_etal_2021_v6:AI:2014,AI,2014,32365,minx_etal_2021:v6
minx_etal_2021_v6:AI:2015,AI,2015,32521,minx_etal_2021:v6
minx_etal_2021_v6:AI:2016,AI,2016,32887,minx_etal_2021:v6
minx_etal_2021_v6:AI:2017,AI,2017,33641,minx_etal_2021:v6
minx_etal_2021_v6:AI:2018,AI,2018,32804,minx_etal_2021:v6
minx_etal_2021_v6:AI:2019,AI,2019,32217,minx_etal_2021:v6
minx_etal_2021_v6:AI:2020,AI,2020,23859,minx_etal_2021:v6
minx_etal_2021_v6:AL:1970,AL,1970,8160373,minx_etal_2021:v6
minx_etal_2021_v6:AL:1971,AL,1971,8108434,minx_etal_2021:v6
minx_etal_2021_v6:AL:1972,AL,1972,9039969,minx_etal_2021:v6
minx_etal_2021_v6:AL:1973,AL,1973,8535212,minx_etal_2021:v6
minx_etal_2021_v6:AL:1974,AL,1974,8809160,minx_etal_2021:v6
minx_etal_2021_v6:AL:1975,AL,1975,9009689,minx_etal_2021:v6
minx_etal_2021_v6:AL:1976,AL,1976,9631072,minx_etal_2021:v6
minx_etal_2021_v6:AL:1977,AL,1977,10191548,minx_etal_2021:v6
minx_etal_2021_v6:AL:1978,AL,1978,11206523,minx_etal_2021:v6
minx_etal_2021_v6:AL:1979,AL,1979,12354486,minx_etal_2021:v6
minx_etal_2021_v6:AL:1980,AL,1980,12555803,minx_etal_2021:v6
minx_etal_2021_v6:AL:1981,AL,1981,11583463,minx_etal_2021:v6
minx_etal_2021_v6:AL:1982,AL,1982,12218566,minx_etal_2021:v6
minx_etal_2021_v6:AL:1983,AL,1983,13057863,minx_etal_2021:v6
minx_etal_2021_v6:AL:1984,AL,1984,13364960,minx_etal_2021:v6
minx_etal_2021_v6:AL:1985,AL,1985,12924467,minx_etal_2021:v6
minx_etal_2021_v6:AL:1986,AL,1986,13146323,minx_etal_2021:v6
minx_etal_2021_v6:AL:1987,AL,1987,13429199,minx_etal_2021:v6
minx_etal_2021_v6:AL:1988,AL,1988,13323006,minx_etal_2021:v6
minx_etal_2021_v6:AL:1989,AL,1989,13206216,minx_etal_2021:v6
minx_etal_2021_v6:AL:1990,AL,1990,11400426,minx_etal_2021:v6
minx_etal_2021_v6:AL:1991,AL,1991,8975389,minx_etal_2021:v6
minx_etal_2021_v6:AL:1992,AL,1992,6103074,minx_etal_2021:v6
minx_etal_2021_v6:AL:1993,AL,1993,6134898,minx_etal_2021:v6
minx_etal_2021_v6:AL:1994,AL,1994,6813321,minx_etal_2021:v6
minx_etal_2021_v6:AL:1995,AL,1995,6448103,minx_etal_2021:v6
minx_etal_2021_v6:AL:1996,AL,1996,6193281,minx_etal_2021:v6
minx_etal_2021_v6:AL:1997,AL,1997,5451225,minx_etal_2021:v6
minx_etal_2021_v6:AL:1998,AL,1998,5715169,minx_etal_2021:v6
minx_etal_2021_v6:AL:1999,AL,1999,6945071,minx_etal_2021:v6
minx_etal_2021_v6:AL:2000,AL,2000,7148770,minx_etal_2021:v6
minx_etal_2021_v6:AL:2001,AL,2001,7333561,minx_etal_2021:v6
minx_etal_2021_v6:AL:2002,AL,2002,7954003,minx_etal_2021:v6
minx_etal_2021_v6:AL:2003,AL,2003,8142093,minx_etal_2021:v6
minx_etal_2021_v6:AL:2004,AL,2004,8365785,minx_etal_2021:v6
minx_etal_2021_v6:AL:2005,AL,2005,7983570,minx_etal_2021:v6
minx_etal_2021_v6:AL:2006,AL,2006,8005091,minx_etal_2021:v6
minx_etal_2021_v6:AL:2007,AL,2007,7953709,minx_etal_2021:v6
minx_etal_2021_v6:AL:2008,AL,2008,7744458,minx_etal_2021:v6
minx_etal_2021_v6:AL:2009,AL,2009,7735952,minx_etal_2021:v6
minx_etal_2021_v6:AL:2010,AL,2010,8040717,minx_etal_2021:v6
minx_etal_2021_v6:AL:2011,AL,2011,8433831,minx_etal_2021:v6
minx_etal_2021_v6:AL:2012,AL,2012,8134118,minx_etal_2021:v6
minx_etal_2021_v6:AL:2013,AL,2013,8388525,minx_etal_2021:v6
minx_etal_2021_v6:AL:2014,AL,2014,8871584,minx_etal_2021:v6
minx_etal_2021_v6:AL:2015,AL,2015,8719879,minx_etal_2021:v6
minx_etal_2021_v6:AL:2016,AL,2016,8506795,minx_etal_2021:v6
minx_etal_2021_v6:AL:2017,AL,2017,9114920,minx_etal_2021:v6
minx_etal_2021_v6:AL:2018,AL,2018,9124511,minx_etal_2021:v6
minx_etal_2021_v6:AL:2019,AL,2019,9303348,minx_etal_2021:v6
minx_etal_2021_v6:AL:2020,AL,2020,5103102,minx_etal_2021:v6
minx_etal_2021_v6:AM:1970,AM,1970,13537433,minx_etal_2021:v6
minx_etal_2021_v6:AM:1971,AM,1971,13699857,minx_etal_2021:v6
minx_etal_2021_v6:AM:1972,AM,1972,14598525,minx_etal_2021:v6
minx_etal_2021_v6:AM:1973,AM,1973,15737789,minx_etal_2021:v6
minx_etal_2021_v6:AM:1974,AM,1974,16888435,minx_etal_2021:v6
minx_etal_2021_v6:AM:1975,AM,1975,18350436,minx_etal_2021:v6
minx_etal_2021_v6:AM:1976,AM,1976,18886930,minx_etal_2021:v6
minx_etal_2021_v6:AM:1977,AM,1977,19525450,minx_etal_2021:v6
minx_etal_2021_v6:AM:1978,AM,1978,20196950,minx_etal_2021:v6
minx_etal_2021_v6:AM:1979,AM,1979,20911373,minx_etal_2021:v6
minx_etal_2021_v6:AM:1980,AM,1980,22052114,minx_etal_2021:v6
minx_etal_2021_v6:AM:1981,AM,1981,22435758,minx_etal_2021:v6
minx_etal_2021_v6:AM:1982,AM,1982,22966683,minx_etal_2021:v6
minx_etal_2021_v6:AM:1983,AM,1983,23052539,minx_etal_2021:v6
minx_etal_2021_v6:AM:1984,AM,1984,23023788,minx_etal_2021:v6
minx_etal_2021_v6:AM:1985,AM,1985,23222976,minx_etal_2021:v6
minx_etal_2021_v6:AM:1986,AM,1986,23392105,minx_etal_2021:v6
minx_etal_2021_v6:AM:1987,AM,1987,23685530,minx_etal_2021:v6
minx_etal_2021_v6:AM:1988,AM,1988,23932923,minx_etal_2021:v6
minx_etal_2021_v6:AM:1989,AM,1989,23641659,minx_etal_2021:v6
minx_etal_2021_v6:AM:1990,AM,1990,24286696,minx_etal_2021:v6
minx_etal_2021_v6:AM:1991,AM,1991,24876340,minx_etal_2021:v6
minx_etal_2021_v6:AM:1992,AM,1992,13976314,minx_etal_2021:v6
minx_etal_2021_v6:AM:1993,AM,1993,7713376,minx_etal_2021:v6
minx_etal_2021_v6:AM:1994,AM,1994,5407668,minx_etal_2021:v6
minx_etal_2021_v6:AM:1995,AM,1995,6071729,minx_etal_2021:v6
minx_etal_2021_v6:AM:1996,AM,1996,5160635,minx_etal_2021:v6
minx_etal_2021_v6:AM:1997,AM,1997,5914632,minx_etal_2021:v6
minx_etal_2021_v6:AM:1998,AM,1998,5937072,minx_etal_2021:v6
minx_etal_2021_v6:AM:1999,AM,1999,5595973,minx_etal_2021:v6
minx_etal_2021_v6:AM:2000,AM,2000,6081430,minx_etal_2021:v6
minx_etal_2021_v6:AM:2001,AM,2001,6190399,minx_etal_2021:v6
minx_etal_2021_v6:AM:2002,AM,2002,5770467,minx_etal_2021:v6
minx_etal_2021_v6:AM:2003,AM,2003,6248336,minx_etal_2021:v6
minx_etal_2021_v6:AM:2004,AM,2004,6716171,minx_etal_2021:v6
minx_etal_2021_v6:AM:2005,AM,2005,7506313,minx_etal_2021:v6
minx_etal_2021_v6:AM:2006,AM,2006,7535210,minx_etal_2021:v6
minx_etal_2021_v6:AM:2007,AM,2007,8217357,minx_etal_2021:v6
minx_etal_2021_v6:AM:2008,AM,2008,8744203,minx_etal_2021:v6
minx_etal_2021_v6:AM:2009,AM,2009,7466412,minx_etal_2021:v6
minx_etal_2021_v6:AM:2010,AM,2010,7238581,minx_etal_2021:v6
minx_etal_2021_v6:AM:2011,AM,2011,7890019,minx_etal_2021:v6
minx_etal_2021_v6:AM:2012,AM,2012,8797722,minx_etal_2021:v6
minx_etal_2021_v6:AM:2013,AM,2013,8672970,minx_etal_2021:v6
minx_etal_2021_v6:AM:2014,AM,2014,8717884,minx_etal_2021:v6
minx_etal_2021_v6:AM:2015,AM,2015,8296311,minx_etal_2021:v6
minx_etal_2021_v6:AM:2016,AM,2016,8465404,minx_etal_2021:v6
minx_etal_2021_v6:AM:2017,AM,2017,8729676,minx_etal_2021:v6
minx_etal_2021_v6:AM:2018,AM,2018,8888892,minx_etal_2021:v6
minx_etal_2021_v6:AM:2019,AM,2019,8561821,minx_etal_2021:v6
minx_etal_2021_v6:AM:2020,AM,2020,5818788,minx_etal_2021:v6
minx_etal_2021_v6:AO:1970,AO,1970,19767755,minx_etal_2021:v6
minx_etal_2021_v6:AO:1971,AO,1971,19643269,minx_etal_2021:v6
minx_etal_2021_v6:AO:1972,AO,1972,22333649,minx_etal_2021:v6
minx_etal_2021_v6:AO:1973,AO,1973,23978151,minx_etal_2021:v6
minx_etal_2021_v6:AO:1974,AO,1974,24680147,minx_etal_2021:v6
minx_etal_2021_v6:AO:1975,AO,1975,23485069,minx_etal_2021:v6
minx_etal_2021_v6:AO:1976,AO,1976,19553452,minx_etal_2021:v6
minx_etal_2021_v6:AO:1977,AO,1977,24214209,minx_etal_2021:v6
minx_etal_2021_v6:AO:1978,AO,1978,26325169,minx_etal_2021:v6
minx_etal_2021_v6:AO:1979,AO,1979,26912071,minx_etal_2021:v6
minx_etal_2021_v6:AO:1980,AO,1980,27409773,minx_etal_2021:v6
minx_etal_2021_v6:AO:1981,AO,1981,25958998,minx_etal_2021:v6
minx_etal_2021_v6:AO:1982,AO,1982,25486030,minx_etal_2021:v6
minx_etal_2021_v6:AO:1983,AO,1983,27468496,minx_etal_2021:v6
minx_etal_2021_v6:AO:1984,AO,1984,28546753,minx_etal_2021:v6
minx_etal_2021_v6:AO:1985,AO,1985,30065257,minx_etal_2021:v6
minx_etal_2021_v6:AO:1986,AO,1986,31669770,minx_etal_2021:v6
minx_etal_2021_v6:AO:1987,AO,1987,33860816,minx_etal_2021:v6
minx_etal_2021_v6:AO:1988,AO,1988,36611461,minx_etal_2021:v6
minx_etal_2021_v6:AO:1989,AO,1989,36816734,minx_etal_2021:v6
minx_etal_2021_v6:AO:1990,AO,1990,33652631,minx_etal_2021:v6
minx_etal_2021_v6:AO:1991,AO,1991,33659967,minx_etal_2021:v6
minx_etal_2021_v6:AO:1992,AO,1992,32658912,minx_etal_2021:v6
minx_etal_2021_v6:AO:1993,AO,1993,36479414,minx_etal_2021:v6
minx_etal_2021_v6:AO:1994,AO,1994,47590456,minx_etal_2021:v6
minx_etal_2021_v6:AO:1995,AO,1995,54939215,minx_etal_2021:v6
minx_etal_2021_v6:AO:1996,AO,1996,65802073,minx_etal_2021:v6
minx_etal_2021_v6:AO:1997,AO,1997,68831977,minx_etal_2021:v6
minx_etal_2021_v6:AO:1998,AO,1998,73814320,minx_etal_2021:v6
minx_etal_2021_v6:AO:1999,AO,1999,74777736,minx_etal_2021:v6
minx_etal_2021_v6:AO:2000,AO,2000,70043395,minx_etal_2021:v6
minx_etal_2021_v6:AO:2001,AO,2001,67656723,minx_etal_2021:v6
minx_etal_2021_v6:AO:2002,AO,2002,66715351,minx_etal_2021:v6
minx_etal_2021_v6:AO:2003,AO,2003,66923512,minx_etal_2021:v6
minx_etal_2021_v6:AO:2004,AO,2004,72564527,minx_etal_2021:v6
minx_etal_2021_v6:AO:2005,AO,2005,71689637,minx_etal_2021:v6
minx_etal_2021_v6:AO:2006,AO,2006,65119201,minx_etal_2021:v6
minx_etal_2021_v6:AO:2007,AO,2007,64317776,minx_etal_2021:v6
minx_etal_2021_v6:AO:2008,AO,2008,68612668,minx_etal_2021:v6
minx_etal_2021_v6:AO:2009,AO,2009,69691957,minx_etal_2021:v6
minx_etal_2021_v6:AO:2010,AO,2010,77480617,minx_etal_2021:v6
minx_etal_2021_v6:AO:2011,AO,2011,76212513,minx_etal_2021:v6
minx_etal_2021_v6:AO:2012,AO,2012,76800406,minx_etal_2021:v6
minx_etal_2021_v6:AO:2013,AO,2013,81414030,minx_etal_2021:v6
minx_etal_2021_v6:AO:2014,AO,2014,83607960,minx_etal_2021:v6
